state,logger,address,meas_day,meas_night,metric
VIC,N01,"34 Edmund Rice Parade, Watsonia",60.0,54.0,LA10
VIC,N02,"12 Eastgate Drive, Greensborough",57.0,51.0,LA10
VIC,N03,"43 Gillingham Street, Watsonia North",56.0,48.0,LA10
VIC,N04,"4 Yonde Court, Greensborough",53.0,46.0,LA10
VIC,N07,"4 Vincent Ct, Greensborough",58.0,52.0,LA10
VIC,N09,"22 Sellars Street, Watsonia North",62.0,54.0,LA10
VIC,N10,"21 Boyd Street, Greensborough",55.0,49.0,LA10
VIC,N11,"1 Saxon Court, Greensborough",61.0,54.0,LA10
VIC,N12,"1/470 Greensborough Road, Greensborough",63.0,56.0,LA10
VIC,N13,"34 Ibbottson Street, Watsonia",56.0,48.0,LA10
VIC,N14,"462 Greensborough Road, Watsonia",61.0,54.0,LA10
VIC,N15,"319 Greensborough Road, Watsonia",60.0,54.0,LA10
VIC,N16,"384 Service Road, Watsonia",58.0,50.0,LA10
VIC,N17,"17 Watson Street, Macleod",52.0,45.0,LA10
VIC,N18,"179 Greensborough Road, Macleod",72.0,63.0,LA10
VIC,N19,"115 Greensborough Road, Macleod",72.0,64.0,LA10
VIC,N20,"10 Borlase Street, Yallambie",61.0,55.0,LA10
VIC,N20A,"3 Kay Court, Yallambie",61.0,54.0,LA10
VIC,N21,"218 Bulleen Road, Bulleen",65.0,58.0,LA10
VIC,N22,"2 Golden Way, Bulleen",74.0,65.0,LA10
VIC,N23,"3 Ilma Court, Bulleen",62.0,55.0,LA10
VIC,N24,"8 Ben Nevis Grove, Bulleen",56.0,50.0,LA10
VIC,N25,"10 Vaughan Crescent, Kew",56.0,51.0,LA10
VIC,N27,"32 Kilby Road, Kew East",64.0,58.0,LA10
VIC,N29,"7 Fairway Drive, Kew East",60.0,54.0,LA10
VIC,N30,"1549B Old Burke Road, Kew East",62.0,55.0,LA10
VIC,N31,"21 Orion Street, Balwyn North",57.0,51.0,LA10
VIC,N32,"52 Columba Street, Balwyn North",56.0,49.0,LA10
VIC,N33,"150 Mountain View Road, Balwyn North",60.0,55.0,LA10
VIC,N34,"7 Kampman Street, Bulleen",58.0,53.0,LA10
VIC,N35,"4 Carron Street, Balwyn North",62.0,55.0,LA10
VIC,N36,"33 Estelle Street, Bulleen",64.0,58.0,LA10
VIC,N37,"117 Willow Bend, Bulleen",63.0,56.0,LA10
VIC,N38,"49 Gardenia Road, Balwyn North",63.0,57.0,LA10
VIC,N39,"3/69 Sweyn Street, Balwyn North",58.0,52.0,LA10
VIC,N41,"15 Valda Avenue, Mont Albert North",59.0,53.0,LA10
VIC,N42,"17 Sargent Street, Doncaster",59.0,53.0,LA10
VIC,N43,"9/19 Paul Avenue, Box Hill North",55.0,50.0,LA10
VIC,N44,"24 Grange Park Avenue, Doncaster",57.0,53.0,LA10
VIC,N45,"48 Eram Road, Box Hill North",55.0,49.0,LA10
VIC,N46,"2/46 Gedye Street, Doncaster",60.0,54.0,LA10
VIC,N47,"21 Middlefield Drive, Blackburn North",57.0,52.0,LA10
VIC,N48,"3/22 Boronia Grove, Doncaster East",62.0,54.0,LA10
VIC,N49,"4/52 Bowen Road, Doncaster East",59.0,52.0,LA10
VIC,N50,"61 Kett Street, Blackburn North",59.0,53.0,LA10
VIC,NS01,"St Mary's Parish Primary, Greensborough",73.0,63.0,LA10
VIC,NS02,Watsonia Primary School,59.0,53.0,LA10
VIC,NS03,"St Martin of Tours, Rosanna",74.0,66.0,LA10
VIC,NS04,"Belle Vue Primary School, Balwyn North",62.0,56.0,LA10
VIC,NS05,"Kalker Montessori Centre, Bulleen",60.0,55.0,LA10
VIC,NS06,"Marcellin College, Bulleen",67.0,60.0,LA10
VIC,NS07,"Trinity Marles Playing Fields, Bulleen",65.0,58.0,LA10
VIC,L1,"Cameron St, Brunswick",62.4,55.0,LAeq
VIC,L2,"Orient Grove, Brunswick",56.2,50.5,LAeq
VIC,L3,"Lux Way, Brunswick",61.6,55.3,LAeq
VIC,L4,"Wilkinson St, Brunswick",54.8,49.4,LAeq
VIC,L5,"Dawson Street, Brunswick",61.2,57.5,LAeq
VIC,L6,"Wilson Ave, Brunswick",65.8,59.6,LAeq
VIC,L7,"Brunswick Road, Brunswick",68.4,62.4,LAeq
VIC,L8,"The Avenue, Parkville",54.7,45.4,LAeq
QLD,Site 1,"22 Crag Road, Taringa",61.0,49.0,snapshot
QLD,Site 2,"115 Elizabeth Street, Toowong",51.0,41.0,snapshot
QLD,Site 3,"6 Wool Street, Toowong",56.0,45.0,snapshot
QLD,Site 4,"128 Sylvan Road, Toowong",64.0,54.0,snapshot
QLD,Site 5,"29 Valentine Street, Toowong",57.0,52.0,snapshot
QLD,Site 6,"69 Frederick Street, Toowong",67.0,57.0,snapshot
QLD,Site 7,"9 Victoria Crescent, Toowong",55.0,41.0,snapshot
QLD,Site 8,"5 Clyde Street, Brisbane City",61.0,53.0,snapshot
