state,site,address,lat,lng,quality,role,meas_day,meas_eve,meas_night,meas_lden,metric,source,note
NSW,NCX 45 Bareena Avenue Wahroonga,"45 Bareena Avenue, Wahroonga NSW",-33.711783,151.117988,street,quiet_residential,61,60,56,64.0,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",street centroid (no numbered G-NAF match for 45)
NSW,NCX 4 Douglas Avenue Wahroonga,"4 Douglas Avenue, Wahroonga NSW",-33.70890916,151.11603118,exact,quiet_residential,60,59,57,64.1,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 118A Coonanbarra Road Wahroonga,"118A Coonanbarra Road, Wahroonga NSW",-33.71038996,151.11738343,exact,quiet_residential,57,54,52,59.6,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 18 Woniora Avenue Wahroonga,"18 Woniora Avenue, Wahroonga NSW",-33.71436571,151.11471802,exact,quiet_residential,62,58,54,62.9,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)","unit address: 18/14-18 Woniora Avenue, Wahroonga NSW 2076"
NSW,NCX 12 Trelawney Street Thornleigh,"12 Trelawney Street, Thornleigh NSW",-33.72716227,151.08596011,exact,quiet_residential,45,43,38,46.8,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 6 Trelawney Street Thornleigh,"6 Trelawney Street, Thornleigh NSW",-33.72704255,151.08530716,exact,quiet_residential,59,56,52,60.6,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 6 Duffy Avenue Thornleigh,"6 Duffy Avenue, Thornleigh NSW",-33.72537193,151.08343249,exact,quiet_residential,60,57,55,62.6,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 1A Killaloe Avenue Pennant Hills,"1A Killaloe Avenue, Pennant Hills NSW",-33.73953113,151.06125468,exact,quiet_residential,54,51,50,57.2,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 18 Wilson Road Pennant Hills,"18 Wilson Road, Pennant Hills NSW",-33.73808317,151.06183442,exact,quiet_residential,53,50,47,55.0,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 35 Coral Tree Drive Carlingford,"35 Coral Tree Drive, Carlingford NSW",-33.75983971,151.0472904,exact,quiet_residential,55,53,50,57.8,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 223 Pennant Hills Road Carlingford,"223 Pennant Hills Road, Carlingford NSW",-33.7846544,151.04232277,exact,arterial,57,57,51,59.7,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 440 Pennant Hills Road Pennant Hills,"440 Pennant Hills Road, Pennant Hills NSW",-33.74007163,151.06116088,exact,arterial,66,65,64,70.8,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",
NSW,NCX 606 Pennant Hills Road Beecroft,"606 Pennant Hills Road, Beecroft NSW",-33.75379841,151.04745127,adjacent_suburb,arterial,52,51,44,53.6,LAeq,"NorthConnex ONAR WM13245-O Table 7-1/7-2 (Class-1 LAeq, free-field 1.5m)",G-NAF locality West Pennant Hills (EIS says Beecroft)
NSW,EMS Charlestown Square North Piazza Bus Stop,,-32.962315,151.6953,sensor,loud_roadside,72.0,70.3,63.5,73.2,IoT~LAeq,Lake Macquarie EMS (data.lakemac.com.au),n=43874 min=58 night_p25=60
NSW,EMS Five Islands Roundabout Speers Point,,-32.95804,151.6175,sensor,loud_roadside,68.1,61.4,58.6,68.0,IoT~LAeq,Lake Macquarie EMS (data.lakemac.com.au),n=5342 min=52 night_p25=54
NSW,EMS Charlestown Square South Piazza,,-32.96548,151.69466,sensor,loud_roadside,70.6,67.4,63.5,72.1,IoT~LAeq,Lake Macquarie EMS (data.lakemac.com.au),n=41727 min=58 night_p25=60
NSW,EMS Pacific Hwy Crn Charlestown Road,,-32.961403,151.69646,sensor,loud_roadside,75.5,72.2,68.9,77.2,IoT~LAeq,Lake Macquarie EMS (data.lakemac.com.au),n=12850 min=61 night_p25=63
NSW,EMS Pacific Hwy Crn Frederick Street Charlestown,,-32.965523,151.69534,sensor,loud_roadside,77.5,73.8,70.2,78.8,IoT~LAeq,Lake Macquarie EMS (data.lakemac.com.au),n=43852 min=59 night_p25=63
